company_id	ticker	canonical_input	taxonomy_namespace	taxonomy_concept	disposition	accounting_perimeter	observed_records	active_annual_sources	source_forms	reason_code	professional_review_status
sec-cik:0000002488	AMD	capital_expenditure	us-gaap	PaymentsToAcquirePropertyPlantAndEquipment	canonical	consolidated_periodic_filing	144	1	10-K,10-Q	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000002488	AMD	net_income	us-gaap	NetIncomeLoss	canonical	consolidated_periodic_filing	238	1	10-K,10-Q	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000002488	AMD	operating_cash_flow	us-gaap	NetCashProvidedByUsedInOperatingActivities	canonical	consolidated_periodic_filing	144	1	10-K,10-Q	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000002488	AMD	operating_income	us-gaap	OperatingIncomeLoss	canonical	consolidated_periodic_filing	288	1	10-K,10-Q	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000002488	AMD	revenue	us-gaap	RevenueFromContractWithCustomerExcludingAssessedTax	canonical	consolidated_periodic_filing	128	1	10-K,10-Q	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000002488	AMD	revenue	us-gaap	Revenues	rejected	unreviewed	4	0	10-Q	unreviewed_issuer_specific_concept	not_submitted_for_review
sec-cik:0000002488	AMD	revenue	us-gaap	SalesRevenueNet	rejected	unreviewed	78	0	10-K,10-Q	unreviewed_issuer_specific_concept	not_submitted_for_review
sec-cik:0000002488	AMD	stockholders_equity	us-gaap	StockholdersEquity	canonical	consolidated_periodic_filing	175	1	10-K,10-Q	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000002488	AMD	total_assets	us-gaap	Assets	canonical	consolidated_periodic_filing	128	1	10-K,10-Q	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000002488	AMD	total_liabilities			unavailable	unavailable	0	0		authorized_annual_source_unavailable	not_submitted_for_review
sec-cik:0000006951	AMAT	capital_expenditure	us-gaap	PaymentsToAcquireProductiveAssets	rejected	unreviewed	39	0	10-K,10-K/A,10-Q	unreviewed_issuer_specific_concept	not_submitted_for_review
sec-cik:0000006951	AMAT	capital_expenditure	us-gaap	PaymentsToAcquirePropertyPlantAndEquipment	canonical	consolidated_periodic_filing	115	2	10-K,10-Q	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000006951	AMAT	net_income	us-gaap	NetIncomeLoss	canonical	consolidated_periodic_filing	312	2	10-K,10-K/A,10-Q	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000006951	AMAT	operating_cash_flow	us-gaap	NetCashProvidedByUsedInOperatingActivities	canonical	consolidated_periodic_filing	156	2	10-K,10-K/A,10-Q	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000006951	AMAT	operating_income	us-gaap	OperatingIncomeLoss	canonical	consolidated_periodic_filing	224	2	10-K,10-K/A,10-Q	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000006951	AMAT	revenue	us-gaap	RevenueFromContractWithCustomerExcludingAssessedTax	canonical	consolidated_periodic_filing	80	2	10-K,10-Q	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000006951	AMAT	revenue	us-gaap	Revenues	rejected	unreviewed	52	0	10-K,10-Q	unreviewed_issuer_specific_concept	not_submitted_for_review
sec-cik:0000006951	AMAT	revenue	us-gaap	SalesRevenueNet	rejected	unreviewed	184	0	10-K,10-K/A,10-Q	unreviewed_issuer_specific_concept	not_submitted_for_review
sec-cik:0000006951	AMAT	stockholders_equity	us-gaap	StockholdersEquity	canonical	consolidated_periodic_filing	270	2	10-K,10-K/A,10-Q	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000006951	AMAT	total_assets	us-gaap	Assets	canonical	consolidated_periodic_filing	140	2	10-K,10-K/A,10-Q	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000006951	AMAT	total_liabilities	us-gaap	Liabilities	canonical	consolidated_periodic_filing	138	2	10-K,10-K/A,10-Q	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000050863	INTC	capital_expenditure	us-gaap	PaymentsToAcquirePropertyPlantAndEquipment	canonical	consolidated_periodic_filing	158	2	10-K,10-Q,8-K	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000050863	INTC	net_income	us-gaap	NetIncomeLoss	canonical	consolidated_periodic_filing	228	2	10-K,10-Q,8-K	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000050863	INTC	operating_cash_flow	us-gaap	NetCashProvidedByUsedInOperatingActivities	canonical	consolidated_periodic_filing	99	2	10-K,10-Q	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000050863	INTC	operating_income	us-gaap	OperatingIncomeLoss	canonical	consolidated_periodic_filing	229	2	10-K,10-Q,8-K	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000050863	INTC	revenue	us-gaap	RevenueFromContractWithCustomerExcludingAssessedTax	canonical	consolidated_periodic_filing	105	2	10-K,10-Q	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000050863	INTC	revenue	us-gaap	SalesRevenueNet	rejected	unreviewed	124	0	10-K,10-Q,8-K	unreviewed_issuer_specific_concept	not_submitted_for_review
sec-cik:0000050863	INTC	stockholders_equity	us-gaap	StockholdersEquity	canonical	consolidated_periodic_filing	208	2	10-K,10-Q,8-K	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000050863	INTC	total_assets	us-gaap	Assets	canonical	consolidated_periodic_filing	140	2	10-K,10-Q,8-K	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000050863	INTC	total_liabilities			unavailable	unavailable	0	0		authorized_annual_source_unavailable	not_submitted_for_review
sec-cik:0000051143	IBM	capital_expenditure	us-gaap	PaymentsToAcquirePropertyPlantAndEquipment	canonical	consolidated_periodic_filing	148	2	10-K,10-Q,8-K	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000051143	IBM	net_income	us-gaap	NetIncomeLoss	canonical	consolidated_periodic_filing	123	2	10-K,10-Q	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000051143	IBM	operating_cash_flow	us-gaap	NetCashProvidedByUsedInOperatingActivities	canonical	consolidated_periodic_filing	105	2	10-K,10-Q	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000051143	IBM	operating_income			unavailable	unavailable	0	0		authorized_annual_source_unavailable	not_submitted_for_review
sec-cik:0000051143	IBM	revenue	us-gaap	Revenues	reviewed_alias	consolidated_periodic_filing	231	2	10-K,10-Q,8-K	issuer_specific_revenue_alias	pending_named_professional_disposition
sec-cik:0000051143	IBM	stockholders_equity	us-gaap	StockholdersEquity	canonical	consolidated_periodic_filing	140	2	10-K,10-Q,8-K	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000051143	IBM	total_assets	us-gaap	Assets	canonical	consolidated_periodic_filing	154	2	10-K,10-Q,8-K	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000051143	IBM	total_liabilities	us-gaap	Liabilities	canonical	consolidated_periodic_filing	140	2	10-K,10-Q,8-K	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
sec-cik:0000097476	TXN	capital_expenditure	us-gaap	PaymentsToAcquireProductiveAssets	rejected	unreviewed	2	0	10-K,10-Q	unreviewed_issuer_specific_concept	not_submitted_for_review
sec-cik:0000097476	TXN	capital_expenditure	us-gaap	PaymentsToAcquirePropertyPlantAndEquipment	canonical	consolidated_periodic_filing	156	2	10-K,10-Q,10-Q/A,8-K	canonical_us_gaap_concept	not_required_for_exact_canonical_mapping
